Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      209.0,      13.06,    16.72,    13.68,     9.00,    12.84
      210.0,      13.00,    16.66,    13.62,     8.97,    12.78
      211.0,      12.95,    16.59,    13.55,     8.93,    12.72
      212.0,      12.89,    16.52,    13.49,     8.89,    12.66
      213.0,      12.83,    16.45,    13.43,     8.85,    12.60
      214.0,      12.78,    16.38,    13.36,     8.81,    12.54
      215.0,      12.72,    16.32,    13.30,     8.77,    12.48
      216.0,      12.66,    16.25,    13.24,     8.74,    12.43
      217.0,      12.61,    16.18,    13.18,     8.70,    12.37
      218.0,      12.55,    16.12,    13.12,     8.66,    12.31
      219.0,      12.50,    16.05,    13.05,     8.62,    12.25
      220.0,      12.44,    15.98,    12.99,     8.59,    12.20
      221.0,      12.39,    15.92,    12.93,     8.55,    12.14
      222.0,      12.33,    15.85,    12.87,     8.51,    12.09
      223.0,      12.28,    15.79,    12.81,     8.48,    12.03
      224.0,      12.22,    15.72,    12.75,     8.44,    11.97
      225.0,      12.17,    15.66,    12.69,     8.41,    11.92
      226.0,      12.12,    15.59,    12.63,     8.37,    11.86
      227.0,      12.06,    15.53,    12.58,     8.33,    11.81
      228.0,      12.01,    15.46,    12.52,     8.30,    11.76
      229.0,      11.96,    15.40,    12.46,     8.26,    11.70
      230.0,      11.90,    15.34,    12.40,     8.23,    11.65
      231.0,      11.85,    15.27,    12.34,     8.19,    11.59
      232.0,      11.80,    15.21,    12.29,     8.16,    11.54
      233.0,      11.75,    15.15,    12.23,     8.12,    11.49
      234.0,      11.70,    15.09,    12.17,     8.09,    11.44
      235.0,      11.64,    15.02,    12.11,     8.05,    11.38
      236.0,      11.59,    14.96,    12.06,     8.02,    11.33
      237.0,      11.54,    14.90,    12.00,     7.98,    11.28
      238.0,      11.49,    14.84,    11.95,     7.95,    11.23
      239.0,      11.44,    14.78,    11.89,     7.91,    11.18
      240.0,      11.39,    14.72,    11.84,     7.88,    11.13
      241.0,      11.34,    14.66,    11.78,     7.85,    11.07
      242.0,      11.29,    14.60,    11.73,     7.81,    11.02
      243.0,      11.24,    14.54,    11.67,     7.78,    10.97
      244.0,      11.19,    14.48,    11.62,     7.75,    10.92
      245.0,      11.14,    14.42,    11.56,     7.71,    10.87
      246.0,      11.09,    14.36,    11.51,     7.68,    10.82
      247.0,      11.04,    14.30,    11.46,     7.65,    10.77
      248.0,      11.00,    14.24,    11.40,     7.61,    10.72
      249.0,      10.95,    14.18,    11.35,     7.58,    10.68
      250.0,      10.90,    14.12,    11.30,     7.55,    10.63
      251.0,      10.85,    14.07,    11.24,     7.52,    10.58
      252.0,      10.80,    14.01,    11.19,     7.48,    10.53
      253.0,      10.76,    13.95,    11.14,     7.45,    10.48
      254.0,      10.71,    13.89,    11.09,     7.42,    10.43
      255.0,      10.66,    13.84,    11.04,     7.39,    10.39
      256.0,      10.62,    13.78,    10.99,     7.36,    10.34
      257.0,      10.57,    13.72,    10.93,     7.32,    10.29
      258.0,      10.52,    13.67,    10.88,     7.29,    10.25
      259.0,      10.48,    13.61,    10.83,     7.26,    10.20
      260.0,      10.43,    13.55,    10.78,     7.23,    10.15
      261.0,      10.38,    13.50,    10.73,     7.20,    10.11
      262.0,      10.34,    13.44,    10.68,     7.17,    10.06
      263.0,      10.29,    13.39,    10.63,     7.14,    10.01
      264.0,      10.25,    13.33,    10.58,     7.11,     9.97
      265.0,      10.20,    13.28,    10.53,     7.08,     9.92
      266.0,      10.16,    13.22,    10.49,     7.05,     9.88
      267.0,      10.11,    13.17,    10.44,     7.02,     9.83
      268.0,      10.07,    13.11,    10.39,     6.99,     9.79
      269.0,      10.03,    13.06,    10.34,     6.96,     9.74
      270.0,       9.98,    13.01,    10.29,     6.93,     9.70
      271.0,       9.94,    12.95,    10.24,     6.90,     9.66
      272.0,       9.89,    12.90,    10.20,     6.87,     9.61
      273.0,       9.85,    12.85,    10.15,     6.84,     9.57
      274.0,       9.81,    12.79,    10.10,     6.81,     9.53
      275.0,       9.76,    12.74,    10.06,     6.78,     9.48
      276.0,       9.72,    12.69,    10.01,     6.75,     9.44
      277.0,       9.68,    12.64,     9.96,     6.72,     9.40
      278.0,       9.64,    12.58,     9.92,     6.69,     9.35
      279.0,       9.59,    12.53,     9.87,     6.66,     9.31
      280.0,       9.55,    12.48,     9.82,     6.64,     9.27
      281.0,       9.51,    12.43,     9.78,     6.61,     9.23
      282.0,       9.47,    12.38,     9.73,     6.58,     9.19
      283.0,       9.43,    12.33,     9.69,     6.55,     9.14
      284.0,       9.39,    12.28,     9.64,     6.52,     9.10
      285.0,       9.35,    12.23,     9.60,     6.49,     9.06
      286.0,       9.30,    12.18,     9.55,     6.47,     9.02
      287.0,       9.26,    12.13,     9.51,     6.44,     8.98
      288.0,       9.22,    12.08,     9.47,     6.41,     8.94
      289.0,       9.18,    12.03,     9.42,     6.38,     8.90
      290.0,       9.14,    11.98,     9.38,     6.36,     8.86
      291.0,       9.10,    11.93,     9.34,     6.33,     8.82
      292.0,       9.06,    11.88,     9.29,     6.30,     8.78
      293.0,       9.02,    11.83,     9.25,     6.28,     8.74
      294.0,       8.98,    11.78,     9.21,     6.25,     8.70
