Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      280.0,       7.22,    10.20,     3.49,     5.42,     9.77
      281.0,       7.20,    10.16,     3.48,     5.41,     9.76
      282.0,       7.18,    10.12,     3.46,     5.41,     9.75
      283.0,       7.17,    10.08,     3.45,     5.40,     9.73
      284.0,       7.15,    10.04,     3.44,     5.40,     9.72
      285.0,       7.13,    10.00,     3.43,     5.39,     9.71
      286.0,       7.12,     9.96,     3.42,     5.38,     9.70
      287.0,       7.10,     9.92,     3.41,     5.38,     9.69
      288.0,       7.08,     9.88,     3.40,     5.37,     9.68
      289.0,       7.07,     9.84,     3.39,     5.37,     9.67
      290.0,       7.05,     9.80,     3.38,     5.36,     9.66
      291.0,       7.03,     9.76,     3.36,     5.35,     9.65
      292.0,       7.02,     9.73,     3.35,     5.35,     9.64
      293.0,       7.00,     9.69,     3.34,     5.34,     9.63
      294.0,       6.98,     9.65,     3.33,     5.34,     9.62
      295.0,       6.97,     9.61,     3.32,     5.33,     9.61
      296.0,       6.95,     9.57,     3.31,     5.33,     9.60
      297.0,       6.93,     9.53,     3.30,     5.32,     9.59
      298.0,       6.92,     9.50,     3.29,     5.31,     9.58
      299.0,       6.90,     9.46,     3.28,     5.31,     9.56
      300.0,       6.89,     9.42,     3.27,     5.30,     9.55
      301.0,       6.87,     9.38,     3.26,     5.30,     9.54
      302.0,       6.85,     9.35,     3.25,     5.29,     9.53
      303.0,       6.84,     9.31,     3.24,     5.29,     9.52
      304.0,       6.82,     9.27,     3.23,     5.28,     9.51
      305.0,       6.81,     9.23,     3.22,     5.27,     9.50
      306.0,       6.79,     9.20,     3.20,     5.27,     9.49
      307.0,       6.77,     9.16,     3.19,     5.26,     9.48
      308.0,       6.76,     9.12,     3.18,     5.26,     9.47
      309.0,       6.74,     9.09,     3.17,     5.25,     9.46
      310.0,       6.73,     9.05,     3.16,     5.25,     9.45
      311.0,       6.71,     9.02,     3.15,     5.24,     9.44
      312.0,       6.70,     8.98,     3.14,     5.23,     9.43
      313.0,       6.68,     8.94,     3.13,     5.23,     9.42
      314.0,       6.67,     8.91,     3.12,     5.22,     9.41
      315.0,       6.65,     8.87,     3.11,     5.22,     9.40
      316.0,       6.64,     8.84,     3.10,     5.21,     9.39
      317.0,       6.62,     8.80,     3.09,     5.21,     9.38
      318.0,       6.60,     8.77,     3.08,     5.20,     9.37
      319.0,       6.59,     8.73,     3.07,     5.20,     9.36
      320.0,       6.57,     8.70,     3.06,     5.19,     9.35
      321.0,       6.56,     8.66,     3.05,     5.18,     9.34
      322.0,       6.54,     8.63,     3.04,     5.18,     9.33
      323.0,       6.53,     8.60,     3.03,     5.17,     9.32
      324.0,       6.51,     8.56,     3.02,     5.17,     9.31
      325.0,       6.50,     8.53,     3.01,     5.16,     9.30
      326.0,       6.48,     8.49,     3.00,     5.16,     9.29
      327.0,       6.47,     8.46,     2.99,     5.15,     9.28
      328.0,       6.46,     8.43,     2.98,     5.15,     9.26
      329.0,       6.44,     8.39,     2.97,     5.14,     9.25
      330.0,       6.43,     8.36,     2.96,     5.13,     9.24
      331.0,       6.41,     8.33,     2.96,     5.13,     9.23
      332.0,       6.40,     8.29,     2.95,     5.12,     9.22
      333.0,       6.38,     8.26,     2.94,     5.12,     9.21
      334.0,       6.37,     8.23,     2.93,     5.11,     9.20
      335.0,       6.35,     8.20,     2.92,     5.11,     9.19
      336.0,       6.34,     8.16,     2.91,     5.10,     9.18
      337.0,       6.32,     8.13,     2.90,     5.10,     9.17
      338.0,       6.31,     8.10,     2.89,     5.09,     9.16
      339.0,       6.30,     8.07,     2.88,     5.09,     9.15
      340.0,       6.28,     8.03,     2.87,     5.08,     9.14
      341.0,       6.27,     8.00,     2.86,     5.07,     9.13
      342.0,       6.25,     7.97,     2.85,     5.07,     9.12
      343.0,       6.24,     7.94,     2.84,     5.06,     9.11
      344.0,       6.23,     7.91,     2.83,     5.06,     9.10
      345.0,       6.21,     7.88,     2.82,     5.05,     9.09
      346.0,       6.20,     7.85,     2.81,     5.05,     9.08
      347.0,       6.18,     7.81,     2.81,     5.04,     9.07
      348.0,       6.17,     7.78,     2.80,     5.04,     9.06
      349.0,       6.16,     7.75,     2.79,     5.03,     9.05
      350.0,       6.14,     7.72,     2.78,     5.03,     9.04
      351.0,       6.13,     7.69,     2.77,     5.02,     9.03
      352.0,       6.11,     7.66,     2.76,     5.01,     9.02
      353.0,       6.10,     7.63,     2.75,     5.01,     9.01
      354.0,       6.09,     7.60,     2.74,     5.00,     9.00
      355.0,       6.07,     7.57,     2.73,     5.00,     8.99
      356.0,       6.06,     7.54,     2.72,     4.99,     8.98
      357.0,       6.05,     7.51,     2.72,     4.99,     8.97
      358.0,       6.03,     7.48,     2.71,     4.98,     8.96
      359.0,       6.02,     7.45,     2.70,     4.98,     8.95
      360.0,       6.01,     7.42,     2.69,     4.97,     8.95
      361.0,       5.99,     7.39,     2.68,     4.97,     8.94
      362.0,       5.98,     7.36,     2.67,     4.96,     8.93
      363.0,       5.97,     7.33,     2.66,     4.96,     8.92
      364.0,       5.95,     7.30,     2.66,     4.95,     8.91
      365.0,       5.94,     7.28,     2.65,     4.94,     8.90
      366.0,       5.93,     7.25,     2.64,     4.94,     8.89
      367.0,       5.91,     7.22,     2.63,     4.93,     8.88
      368.0,       5.90,     7.19,     2.62,     4.93,     8.87
      369.0,       5.89,     7.16,     2.61,     4.92,     8.86
      370.0,       5.88,     7.13,     2.60,     4.92,     8.85
      371.0,       5.86,     7.10,     2.60,     4.91,     8.84
      372.0,       5.85,     7.08,     2.59,     4.91,     8.83
      373.0,       5.84,     7.05,     2.58,     4.90,     8.82
      374.0,       5.82,     7.02,     2.57,     4.90,     8.81
      375.0,       5.81,     6.99,     2.56,     4.89,     8.80
      376.0,       5.80,     6.96,     2.55,     4.89,     8.79
      377.0,       5.79,     6.94,     2.55,     4.88,     8.78
      378.0,       5.77,     6.91,     2.54,     4.88,     8.77
      379.0,       5.76,     6.88,     2.53,     4.87,     8.76
      380.0,       5.75,     6.86,     2.52,     4.87,     8.75
      381.0,       5.74,     6.83,     2.51,     4.86,     8.74
      382.0,       5.72,     6.80,     2.50,     4.86,     8.73
      383.0,       5.71,     6.77,     2.50,     4.85,     8.72
      384.0,       5.70,     6.75,     2.49,     4.84,     8.71
      385.0,       5.69,     6.72,     2.48,     4.84,     8.70
      386.0,       5.67,     6.69,     2.47,     4.83,     8.69
      387.0,       5.66,     6.67,     2.46,     4.83,     8.68
      388.0,       5.65,     6.64,     2.46,     4.82,     8.67
      389.0,       5.64,     6.61,     2.45,     4.82,     8.66
      390.0,       5.62,     6.59,     2.44,     4.81,     8.66
      391.0,       5.61,     6.56,     2.43,     4.81,     8.65
      392.0,       5.60,     6.54,     2.42,     4.80,     8.64
      393.0,       5.59,     6.51,     2.42,     4.80,     8.63
      394.0,       5.58,     6.49,     2.41,     4.79,     8.62
      395.0,       5.56,     6.46,     2.40,     4.79,     8.61
      396.0,       5.55,     6.43,     2.39,     4.78,     8.60
      397.0,       5.54,     6.41,     2.39,     4.78,     8.59
      398.0,       5.53,     6.38,     2.38,     4.77,     8.58
      399.0,       5.52,     6.36,     2.37,     4.77,     8.57
      400.0,       5.50,     6.33,     2.36,     4.76,     8.56
